timestamp,value
13 JUN,125899256
14 JUN,126037647
15 JUN,128198603
16 JUN,114527068
17 JUN,65636837
18 JUN,177704814
19 JUN,107248917
20 JUN,115600746
21 JUN,210172225
22 JUN,137193725
23 JUN,247665355
24 JUN,211078327
25 JUN,221016761
26 JUN,286842985
27 JUN,201378511
28 JUN,223394440
29 JUN,126803975
30 JUN,77470703
1 JUL,99549995
2 JUL,103247848
3 JUL,105154399
4 JUL,39972811
5 JUL,40075834
6 JUL,121228256
7 JUL,169639540
8 JUL,50923933
9 JUL,93439562
10 JUL,54063836
11 JUL,37436243
12 JUL,24478890
