timestamp,value
22 MAY,142150335
23 MAY,232322841
24 MAY,329012286
25 MAY,295790760
26 MAY,299690699
27 MAY,349609530
28 MAY,186545790
29 MAY,238059859
30 MAY,47539871
31 MAY,51559945
1 JUN,146517543
2 JUN,98284227
3 JUN,124962935
4 JUN,177968985
5 JUN,303399667
6 JUN,402692173
7 JUN,122400826
8 JUN,57934149
9 JUN,133832797
10 JUN,81313641
11 JUN,281876325
12 JUN,190875027
13 JUN,125899256
14 JUN,126037647
15 JUN,128198603
16 JUN,114527068
17 JUN,65636837
18 JUN,177704814
19 JUN,107248917
20 JUN,115600746
