timestamp,value
30 JUN,77470703
1 JUL,99549995
2 JUL,103247848
3 JUL,105154399
4 JUL,39972811
5 JUL,40075834
6 JUL,121228256
7 JUL,169639540
8 JUL,50923933
9 JUL,93439562
10 JUL,54063836
11 JUL,37436243
12 JUL,24478890
13 JUL,94005572
14 JUL,155386816
15 JUL,73057848
16 JUL,167421521
17 JUL,163675996
18 JUL,192440460
19 JUL,88945018
20 JUL,118545063
21 JUL,367734572
22 JUL,111988827
23 JUL,160393827
24 JUL,53024148
25 JUL,84186026
26 JUL,85942748
27 JUL,174222663
28 JUL,113349831
29 JUL,142484894
