timestamp,value
1 APR,52.48864639483436
2 APR,23.12870985242375
3 APR,44.70263610566778
4 APR,35.48487527546076
5 APR,21.799709895465828
6 APR,47.517375367131024
7 APR,26.375412935153275
8 APR,4.283225241231849
9 APR,75.66845876079219
10 APR,64.15822166132459
11 APR,82.62140307601922
12 APR,26.03056866677605
13 APR,73.8395641797882
14 APR,75.16544023492261
15 APR,48.42703984222227
16 APR,53.60263889289839
17 APR,54.79775855624558
18 APR,36.91340190123118
19 APR,0.14387524515270086
20 APR,1.6664348882249955
21 APR,5.347186640453948
22 APR,43.04840283808002
23 APR,63.93817637113084
24 APR,0.5513508760800012
25 APR,20.323010941308116
26 APR,3.323018581994694
27 APR,24.438722266671782
28 APR,60.288883713549566
29 APR,18.79611682709435
30 APR,64.27088750622427
