timestamp,value
6 MAY,220164150
7 MAY,180103692
8 MAY,170751924
9 MAY,43388989
10 MAY,77588562
11 MAY,164282469
12 MAY,86899078
13 MAY,134681547
14 MAY,38127067
15 MAY,113347718
16 MAY,53381826
17 MAY,69337227
18 MAY,65297210
19 MAY,38303471
20 MAY,82884139
21 MAY,186970284
22 MAY,142150335
23 MAY,232322841
24 MAY,329012286
25 MAY,295790760
26 MAY,299690699
27 MAY,349609530
28 MAY,186545790
29 MAY,238059859
30 MAY,47539871
31 MAY,51559945
1 JUN,146517543
2 JUN,98284227
3 JUN,124962935
4 JUN,177968985
