timestamp,value
6 MAY,145
7 MAY,154
8 MAY,131
9 MAY,141
10 MAY,131
11 MAY,161
12 MAY,179
13 MAY,199
14 MAY,181
15 MAY,188
16 MAY,210
17 MAY,150
18 MAY,208
19 MAY,199
20 MAY,205
21 MAY,216
22 MAY,213
23 MAY,170
24 MAY,163
25 MAY,237
26 MAY,631
27 MAY,256
28 MAY,160
29 MAY,241
30 MAY,229
31 MAY,199
1 JUN,203
2 JUN,184
3 JUN,136
4 JUN,159
