timestamp,value
18 AUG,91274931
19 AUG,117484352
20 AUG,242405772
21 AUG,144803104
22 AUG,84287150
23 AUG,105666606
24 AUG,76872384
25 AUG,107850762
26 AUG,254506298
27 AUG,232007692
28 AUG,100701636
29 AUG,248926551
30 AUG,69584922
31 AUG,114169209
1 SEP,134453309
2 SEP,92697325
3 SEP,60934391
4 SEP,81970533
5 SEP,49567922
6 SEP,52761529
7 SEP,49547209
8 SEP,136555625
9 SEP,122691476
10 SEP,78884232
11 SEP,182747821
12 SEP,47428338
13 SEP,102551521
14 SEP,95296289
15 SEP,203770780
16 SEP,69414557
