timestamp,value
18 AUG,16.506989197285726
19 AUG,33.73747509796028
20 AUG,39.36225743007473
21 AUG,18.421205943209614
22 AUG,19.026432854830187
23 AUG,13.909851519220744
24 AUG,23.901445543824945
25 AUG,25.700985775139912
26 AUG,46.608430098653194
27 AUG,44.057273756251156
28 AUG,36.47345113638472
29 AUG,58.06799171053473
30 AUG,19.4861222952869
31 AUG,22.198250493265657
1 SEP,3.4000405300549352
2 SEP,14.712672668817572
3 SEP,2.583557452801982
4 SEP,34.47927927954305
5 SEP,1.1562498020393108
6 SEP,13.254725805993987
7 SEP,2.2698432922831233
8 SEP,19.222231233609012
9 SEP,20.511959608343126
10 SEP,26.866877527564696
11 SEP,45.86064093207437
12 SEP,16.55022784057919
13 SEP,23.50808429257719
14 SEP,38.88967491693197
15 SEP,49.17447437753342
16 SEP,20.19915505619376
